,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,job
13,0.038390787,0.657445261,-0.371127991,-0.534560036,-0.310072314,-0.167817167,0.007054526,-0.030855998,0.061583875,-0.013539963,-0.024598107,-0.022205385,-0.0484789,0.064213523,-0.021325865,0.004935574,-0.015928701,-0.011844564,0.030367528,0.010844701,"acturial,data,scientist	"
14,0.026413834,0.464418588,-0.380194172,0.661696691,-0.354249137,0.138437612,0.02948786,0.039724133,0.002627859,-0.003853046,0.011831814,0.016789871,0.002493034,0.004839292,0.022480338,0.014122628,0.004743576,-0.008464486,-0.010132707,-0.008539892,"data,scientist"
15,0.038390787,0.657445261,-0.371127991,-0.534560036,-0.310072314,-0.167817167,0.007054526,-0.030855998,0.061583875,-0.013539963,-0.024598107,-0.022205385,-0.0484789,0.064213523,-0.021325865,0.004935574,-0.015928701,-0.011844564,0.030367528,0.010844701,"acturial,data,scientist	"
16,0.026363504,0.313262227,-0.031972841,-0.126547749,0.111006093,0.033003643,0.164696444,0.003348706,-0.11315642,0.073560486,-0.048215727,-0.041541028,0.104340844,-0.254580576,0.351136408,-0.257906983,0.176115254,0.00425866,-0.137787561,-0.040227406,"data,analytics"
17,0.00467947,0.06995181,0.093051481,-0.010287417,0.036874509,0.085592935,0.333506251,0.031954052,0.120000989,-0.008674551,-0.038097119,0.043351594,-0.023100322,0.156716617,-0.144253043,0.052194718,-0.01907219,0.001240241,0.163623636,-0.168757652,"data,analytics"
18,0.017092028,0.265654069,0.286229867,-0.051214403,0.082127946,0.518941461,-0.172504617,-0.257042017,-0.016874689,-0.185633638,-0.040057443,-0.172011627,-0.130571297,0.038460219,-0.19861351,-0.126260144,-0.109982199,0.140234259,-0.024235024,-0.014283225,"data,analytics"
19,0.051442866,0.388169929,0.097862884,-0.053802401,0.155775815,0.422410498,-0.138274941,-0.107059337,-0.120584228,0.090713591,-0.122816711,-0.040422063,-0.219847423,-0.201073817,0.071159421,-0.135393876,0.037471209,-0.263341554,0.209780525,0.052736735,"data,scientist"
20,0.017087896,0.258577822,-0.007280911,-0.184562192,0.053928695,0.236044938,-0.091349114,-0.083818538,-0.107431999,-0.226175149,-0.153547549,0.022640596,0.163120644,-0.09154194,0.125121069,0.052172135,0.152152282,-0.158000354,-0.21655648,-0.233702289,"senior,data,scientist	"
21,0.005762826,0.089431887,0.033311549,-0.042706588,0.077748631,0.108710789,0.033491072,0.030022263,-0.000315121,0.017341508,0.159773497,0.043813179,-0.085211536,-0.125058435,0.013533182,0.523752857,0.30487207,0.044926052,-0.145975366,-0.041470055,"data,scientist"
22,0.013219253,0.200744738,0.004883419,-0.015204707,-0.038548623,0.006035825,0.000320668,-0.000512732,0.000728298,-0.004846546,0.086651763,0.00363294,0.210595699,-0.132798581,-0.125319955,-0.058190829,0.121839672,0.44142281,0.136898097,0.203886126,"senior,data,scientist	"
